Date,3382.T,4063.T,7974.T,4502.T,4503.T,6752.T,7201.T,2914.T,9503.T,7751.T,6758.T,8604.T,9501.T,5401.T,7203.T,7267.T,8802.T,6502.T,9021.T,8031.T,8058.T,8306.T,8316.T,8411.T,8766.T,6301.T,9432.T,9433.T,9437.T,9984.T
2008-07-31,3106.3636363636365,6525.454545454545,57540.90909090909,5375.454545454545,900.0909090909091,617.5,839.3181818181819,2266.818181818182,2452.2727272727275,3184.0,4387.272727272727,1552.7272727272727,2788.181818181818,5792.727272727273,4856.363636363636,3579.090909090909,2465.2272727272725,2952.0,3158.0,2195.2272727272725,3262.7272727272725,963.1363636363636,8198.181818181818,5244.545454545455,1930.2,2815.4545454545455,1303.75,1022.4242720170455,1633.3181818181818,959.25
2008-08-31,3298.5714285714284,6275.238095238095,51385.71428571428,5863.333333333333,963.7142857142857,617.5,841.0952380952381,2488.5714285714284,2603.095238095238,3184.0,4204.285714285715,1488.4761904761904,3050.9523809523807,5269.523809523809,4818.571428571428,3555.714285714286,2455.2380952380954,2952.0,3158.0,1840.6666666666667,2943.3333333333335,847.952380952381,6913.333333333333,4706.190476190476,1930.2,2380.0,1337.2619047619048,1068.8885672433037,1714.7619047619048,951.0952380952381
2008-09-30,3080.0,5307.5,48965.0,5454.0,918.5,617.5,780.65,2249.0,2537.25,3184.0,3673.5,1408.75,2857.75,4532.0,4745.0,3422.5,2274.5,2952.0,3158.0,1545.15,2567.0,848.6,6513.5,4478.5,1930.2,1915.4,1238.125,1008.5839965820312,1651.15,804.875
2008-10-31,2726.818181818182,4452.727272727273,33409.545454545456,4858.181818181818,796.4545454545455,617.5,520.5909090909091,1649.6136363636363,2309.7272727272725,3184.0,2484.2727272727275,1188.1818181818182,2641.818181818182,3191.818181818182,3601.3636363636365,2396.0,1809.4545454545455,2952.0,3158.0,1026.0,1738.3181818181818,750.6363636363636,5222.272727272727,3361.5454545454545,1930.2,1151.590909090909,1061.1363636363637,925.151816628196,1571.6818181818182,524.7727272727273
2008-11-30,2896.9444444444443,4305.555555555556,30462.777777777777,4713.333333333333,794.3333333333334,617.5,383.55555555555554,1664.4444444444443,2504.1666666666665,3184.0,2089.1111111111113,820.3333333333334,2924.1666666666665,2942.777777777778,3273.3333333333335,2175.5555555555557,1492.611111111111,2952.0,3158.0,862.0,1307.0555555555557,575.4444444444445,3685.8333333333335,2506.5555555555557,1930.2,1128.9444444444443,1076.111111111111,999.5368313259548,1579.4444444444443,610.8055555555555
2008-12-31,2875.5,3812.0,33284.5,4512.0,724.6,617.5,311.35,1565.125,2607.0,3184.0,1836.1,674.85,2951.0,2867.0,2872.25,1883.9,1355.35,2952.0,3158.0,803.15,1150.8,505.2,3455.15,2396.7,1930.2,1081.95,1324.5,1022.8332000732422,1703.65,719.475
2009-01-31,2604.4736842105262,4216.315789473684,32458.947368421053,4331.0526315789475,673.6842105263158,617.5,315.42105263157896,1369.8684210526317,2369.2105263157896,3184.0,1993.3157894736842,662.7894736842105,2783.9473684210525,2862.6315789473683,2977.8947368421054,2055.4210526315787,1305.6842105263158,2952.0,3158.0,936.8421052631579,1271.3157894736842,520.6842105263158,3667.8947368421054,2467.3684210526317,1930.2,1078.578947368421,1150.1315789473683,947.7192671926398,1610.2105263157894,711.7894736842105
2009-02-28,2264.3684210526317,4241.578947368421,27183.157894736843,4008.9473684210525,668.5263157894736,617.5,282.10526315789474,1190.8684210526317,2312.1052631578946,3184.0,1701.3157894736842,481.2631578947368,2731.5789473684213,2634.7368421052633,3066.5789473684213,2238.157894736842,1118.7368421052631,2952.0,3158.0,952.6315789473684,1262.3684210526317,459.94736842105266,3299.2105263157896,2046.3157894736842,1930.2,1005.8421052631579,1051.7105263157894,845.2631578947369,1519.7368421052631,655.1052631578947
2009-03-31,2056.1428571428573,4558.571428571428,28448.095238095237,3535.714285714286,611.4761904761905,617.5,346.3809523809524,1183.642857142857,2170.0,3184.0,1912.1904761904761,482.2857142857143,2536.190476190476,2588.5714285714284,3024.5238095238096,2255.9523809523807,1058.8095238095239,2952.0,3158.0,908.952380952381,1223.3809523809523,456.6190476190476,3231.4285714285716,1942.857142857143,1930.2,1077.7619047619048,945.7142857142857,772.4603794642857,1403.4761904761904,619.2857142857143
2009-04-30,2185.714285714286,4830.952380952381,27384.285714285714,3509.5238095238096,630.4761904761905,617.5,481.8095238095238,1301.7619047619048,2030.142857142857,3184.0,2470.0,593.7142857142857,2378.3333333333335,3163.3333333333335,3756.6666666666665,2741.6666666666665,1280.1904761904761,2952.0,3158.0,1122.7619047619048,1532.6666666666667,509.0,3242.1428571428573,1990.952380952381,1930.2,1222.8095238095239,941.6666666666666,780.8729538690476,1373.8095238095239,749.1428571428571
