"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"DARE","Dare Bioscience, Inc.","1.08","$34.08M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/dare",
"DRIO","DarioHealth Corp.","13.1","$99.44M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/drio",
"DRIOW","DarioHealth Corp.","0.06","n/a","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/driow",
"DSKE","Daseke, Inc.","6.35","$412.9M","2015","Consumer Services","Transportation Services","https://old.nasdaq.com/symbol/dske",
"DSKEW","Daseke, Inc.","0.2799","n/a","2015","Consumer Services","Transportation Services","https://old.nasdaq.com/symbol/dskew",
"DAIO","Data I/O Corporation","3.6655","$30.77M","1981","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/daio",
"DDOG","Datadog, Inc.","85.82","$26.03B","2019","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ddog",
"DTSS","Datasea Inc.","1.8795","$39.36M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/dtss",
"PLAY","Dave & Buster&#39;s Entertainment, Inc.","21.85","$1.04B","2014","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/play",
"DTEA","DAVIDsTEA Inc.","1.17","$30.66M","2015","Consumer Non-Durables","Food Chains","https://old.nasdaq.com/symbol/dtea",
"DFNL","Davis Select Financial ETF","22.3469","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dfnl",
"DINT","Davis Select International ETF","22.48","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dint",
"DUSA","Davis Select U.S. Equity ETF","28.04","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dusa",
"DWLD","Davis Select Worldwide ETF","28.83","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwld",
"DWSN","Dawson Geophysical Company","1.775","$41.67M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/dwsn",
"DBVT","DBV Technologies S.A.","2.48","$271.91M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/dbvt",
"DCRBU","Decarbonization Plus Acquisition Corporation","9.915","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/dcrbu",
"DCPH","Deciphera Pharmaceuticals, Inc.","65.09","$3.71B","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/dcph",
"DFHT","Deerfield Healthcare Technology Acquisitions Corp.","10.2","$183.28M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/dfht",
"DFHTU","Deerfield Healthcare Technology Acquisitions Corp.","10.615","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/dfhtu",
"DFHTW","Deerfield Healthcare Technology Acquisitions Corp.","1.55","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/dfhtw",
"IBBJ","Defiance Nasdaq Junior Biotechnology ETF","30.2463","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ibbj",
"TACO","Del Taco Restaurants, Inc.","8.35","$311.66M","2014","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/taco",
"DCTH","Delcath Systems, Inc.","11.75","$48.06M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/dcth",
"DEMZ","DEMZ Political Contributions ETF","21.7623","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/demz",
"DNLI","Denali Therapeutics Inc.","65.17","$7.82B","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/dnli",
"DENN","Denny&#39;s Corporation","10.43","$665.1M","n/a","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/denn",
"XRAY","DENTSPLY SIRONA Inc.","51.36","$11.22B","1987","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/xray",
"DRMT","Dermavant Sciences Ltd.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/drmt",
"DMTK","DermTech, Inc.","13.41","$262.77M","2017","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/dmtk",
"DXLG","Destination XL Group, Inc.","0.315","$16.24M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/dxlg",
"DSWL","Deswell Industries, Inc.","2.92","$46.47M","1995","Consumer Non-Durables","Plastic Products","https://old.nasdaq.com/symbol/dswl",
"DXCM","DexCom, Inc.","336.4","$32.3B","2005","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/dxcm",
"DFPH","DFP Healthcare Acquisitions Corp.","10.05","$288.94M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/dfph",
"DFPHU","DFP Healthcare Acquisitions Corp.","10.5","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/dfphu",
"DFPHW","DFP Healthcare Acquisitions Corp.","1.55","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/dfphw",
"DMAC","DiaMedica Therapeutics Inc.","4.18","$78.33M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/dmac",
